scenario_id,layer,items_before,items_after,tokens_before,tokens_after,saved_tokens,elapsed_ms
tools=3_rows=150,selection:token_budget,9,9,845,845,0,0.617
tools=3_rows=150,compression:dedup_messages,9,9,63406,63406,0,25.105
tools=3_rows=150,clustering:repeated_tool_calls,9,9,63406,63406,0,25.538
tools=3_rows=150,compression:tool_results,9,9,63406,845,62561,12.996
tools=3_rows=150,reranking:composite,9,9,845,845,0,0.599
tools=3_rows=150,selection:token_budget,9,9,845,845,0,0.623
tools=3_rows=150,compression:dedup_messages,9,9,63409,63409,0,24.921
tools=3_rows=150,clustering:repeated_tool_calls,9,9,63409,63409,0,24.865
tools=3_rows=150,compression:tool_results,9,9,63409,847,62562,12.644
tools=3_rows=150,reranking:composite,9,9,847,847,0,0.569
tools=3_rows=150,selection:token_budget,9,9,847,847,0,0.608
tools=3_rows=150,compression:dedup_messages,9,9,63405,63405,0,24.972
tools=3_rows=150,clustering:repeated_tool_calls,9,9,63405,63405,0,25.07
tools=3_rows=150,compression:tool_results,9,9,63405,842,62563,12.854
tools=3_rows=150,reranking:composite,9,9,842,842,0,0.596
tools=3_rows=150,selection:token_budget,9,9,842,842,0,0.603
tools=3_rows=400,compression:dedup_messages,9,9,168403,168403,0,65.798
tools=3_rows=400,clustering:repeated_tool_calls,9,9,168403,168403,0,65.734
tools=3_rows=400,compression:tool_results,9,9,168403,844,167559,32.899
tools=3_rows=400,reranking:composite,9,9,844,844,0,0.583
tools=3_rows=400,selection:token_budget,9,9,844,844,0,0.609
tools=3_rows=400,compression:dedup_messages,9,9,168403,168403,0,65.544
tools=3_rows=400,clustering:repeated_tool_calls,9,9,168403,168403,0,65.557
tools=3_rows=400,compression:tool_results,9,9,168403,845,167558,33.045
tools=3_rows=400,reranking:composite,9,9,845,845,0,0.554
tools=3_rows=400,selection:token_budget,9,9,845,845,0,0.623
tools=3_rows=400,compression:dedup_messages,9,9,168401,168401,0,64.987
tools=3_rows=400,clustering:repeated_tool_calls,9,9,168401,168401,0,65.009
tools=3_rows=400,compression:tool_results,9,9,168401,841,167560,33.358
